serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens,sentiment_vader,sentiment_textblob,sentiment_transformer,transformer_score,keywords_rake,keywords_yake,keywords_tfidf
1,"🔥Professional Certificate Program in Data Engineering  - https://www.simplilearn.com/pgp-data-engineering-certification-training-course?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
🔥IITK - Professional Certificate Course in Data Science (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
🔥Caltech Post Graduate Program in Data Science  - https://www.simplilearn.com/post-graduate-program-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube"," fire Professional Certificate Program in Data Engineering  - https://www.simplilearn.com/pgp-data-engineering-certification-training-course?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
 fire IITK - Professional Certificate Course in Data Science (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
 fire Caltech Post Graduate Program in Data Science  - https://www.simplilearn.com/post-graduate-program-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube",fire professional certificate program in data engineering fire iitk professional certificate course in data science india only fire caltech post graduate program in data science,"['fire', 'professional', 'certificate', 'program', 'datum', 'engineering', 'fire', 'iitk', 'professional', 'certificate', 'course', 'datum', 'science', 'india', 'fire', 'caltech', 'post', 'graduate', 'program', 'datum', 'science']",Negative,Positive,NEGATIVE,0.955158829689026,"['data engineering fire iitk professional certificate course', 'fire caltech post graduate program', 'fire professional certificate program', 'data science india', 'data science']","['data', 'professional', 'certificate', 'program', 'science', 'fire', 'engineering', 'iitk', 'india', 'caltech']","['science', 'data', 'course']"
2,"100 slides given by my university explained in 6 minutes! Amazing, and thank you so much!","100 slides given by my university explained in 6 minutes! Amazing, and thank you so much!",slides given by my university explained in minutes amazing and thank you so much,"['slide', 'give', 'university', 'explain', 'minute', 'amazing', 'thank', 'much']",Positive,Positive,POSITIVE,0.9998759031295776,"['university explained', 'slides given', 'minutes amazing', 'thank', 'much']","['slides', 'university', 'explained', 'minutes', 'amazing']","['given', 'slides', 'minutes', 'explained', 'amazing', 'thank']"
3,"Well, I'm blown away. That was one of the most productive six minutes I spent on YoutTube <3 Thank you!","Well, I'm blown away. That was one of the most productive six minutes I spent on YoutTube <3 Thank you!",well im blown away that was one of the most productive six minutes i spent on youttube thank you,"['well', 'I', 'm', 'blow', 'away', 'one', 'productive', 'six', 'minute', 'spend', 'youttube', 'thank']",Positive,Positive,NEGATIVE,0.973733365535736,"['well im blown away', 'productive six minutes', 'youttube thank', 'spent', 'one']","['blown', 'productive', 'minutes', 'spent', 'youttube']","['productive', 'minutes', 'thank']"
4,Thanks for the explanation understood about Hadoop. Answer is: Ensures fault tolerance. 5:31,Thanks for the explanation understood about Hadoop. Answer is: Ensures fault tolerance. 5:31,thanks for the explanation understood about hadoop answer is: ensures fault tolerance :,"['thank', 'explanation', 'understand', 'hadoop', 'answer', ':', 'ensure', 'fault', 'tolerance', ':']",Positive,Positive,NEGATIVE,0.5186576843261719,"['ensures fault tolerance', 'hadoop answer', 'explanation understood', 'thanks']","['ensures', 'tolerance', 'explanation', 'understood', 'hadoop', 'answer', 'fault']","['hadoop', 'explanation', 'thanks', 'ensures', 'answer', 'tolerance', 'fault']"
5,Wow this is how things should be explained. Simultaneously with strong examples. Thank you for uploading this.,Wow this is how things should be explained. Simultaneously with strong examples. Thank you for uploading this.,wow this is how things should be explained simultaneously with strong examples thank you for uploading this,"['wow', 'thing', 'explain', 'simultaneously', 'strong', 'example', 'thank', 'upload']",Positive,Positive,POSITIVE,0.9997257590293884,"['strong examples thank', 'explained simultaneously', 'wow', 'uploading', 'things']","['wow', 'things', 'explained', 'simultaneously', 'strong', 'uploading']","['wow', 'explained', 'thank']"
6,"Yay, an explanation that can be understood in plain english with simple examples.
It took my lecturer about 30 minutes to slog through half of this content and it barely made sense to me. This was great.","Yay, an explanation that can be understood in plain english with simple examples.
It took my lecturer about 30 minutes to slog through half of this content and it barely made sense to me. This was great.",yay an explanation that can be understood in plain english with simple examples it took my lecturer about minutes to slog through half of this content and it barely made sense to me this was great,"['yay', 'explanation', 'understand', 'plain', 'english', 'simple', 'example', 'take', 'lecturer', 'minute', 'slog', 'half', 'content', 'barely', 'make', 'sense', 'great']",Positive,Positive,NEGATIVE,0.9997019171714784,"['barely made sense', 'simple examples', 'plain english', 'yay', 'understood', 'took', 'slog', 'minutes', 'lecturer', 'half']","['yay', 'great', 'explanation', 'understood', 'plain', 'english', 'simple', 'lecturer', 'minutes', 'slog']","['minutes', 'content', 'great', 'explanation']"
7,"thank you for not having ads in the beginning of this video, is all I have to say.","thank you for not having ads in the beginning of this video, is all I have to say.",thank you for not having ads in the beginning of this video is all i have to say,"['thank', 'ad', 'begin', 'video', 'say']",Positive,Neutral,POSITIVE,0.9853394031524658,"['video', 'thank', 'say', 'beginning', 'ads']","['ads', 'beginning', 'video']","['thank', 'video']"
8,best video I have seen ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,best video I have seen ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,best video i have seen the answer to the question : the advantage of the x replication in hdfs is mainly that it ensures fault tolerance,"['good', 'video', 'see', 'answer', 'question', ':', 'advantage', 'x', 'replication', 'hdfs', 'mainly', 'ensure', 'fault', 'tolerance']",Positive,Positive,POSITIVE,0.9753947257995604,"['ensures fault tolerance', 'x replication', 'best video', 'seen', 'question', 'mainly', 'hdfs', 'answer', 'advantage']","['question', 'tolerance', 'video', 'answer', 'advantage', 'replication', 'hdfs', 'ensures', 'fault']","['best', 'advantage', 'hdfs', 'question', 'replication', 'video', 'ensures', 'answer', 'tolerance', 'fault']"
9,Nice video ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,Nice video ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,nice video the answer to the question : the advantage of the x replication in hdfs is mainly that it ensures fault tolerance,"['nice', 'video', 'answer', 'question', ':', 'advantage', 'x', 'replication', 'hdfs', 'mainly', 'ensure', 'fault', 'tolerance']",Positive,Positive,POSITIVE,0.9818166494369508,"['ensures fault tolerance', 'x replication', 'nice video', 'question', 'mainly', 'hdfs', 'answer', 'advantage']","['nice', 'question', 'tolerance', 'video', 'answer', 'advantage', 'replication', 'hdfs', 'ensures', 'fault']","['nice', 'advantage', 'hdfs', 'question', 'replication', 'video', 'ensures', 'answer', 'tolerance', 'fault']"
10,"Thank you SimpliLearn, 

1. Straight to the point, 2. Visuals and precise explanation.","Thank you SimpliLearn, 

1. Straight to the point, 2. Visuals and precise explanation.",thank you simplilearn straight to the point visuals and precise explanation,"['thank', 'simplilearn', 'straight', 'point', 'visual', 'precise', 'explanation']",Positive,Positive,POSITIVE,0.9996442794799804,"['simplilearn straight', 'precise explanation', 'point visuals', 'thank']","['explanation', 'simplilearn', 'straight', 'point', 'visuals', 'precise']","['explanation', 'thank']"
