serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens
1,"🔥Professional Certificate Program in Data Engineering  - https://www.simplilearn.com/pgp-data-engineering-certification-training-course?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
🔥IITK - Professional Certificate Course in Data Science (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
🔥Caltech Post Graduate Program in Data Science  - https://www.simplilearn.com/post-graduate-program-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube"," fire Professional Certificate Program in Data Engineering  - https://www.simplilearn.com/pgp-data-engineering-certification-training-course?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
 fire IITK - Professional Certificate Course in Data Science (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
 fire Caltech Post Graduate Program in Data Science  - https://www.simplilearn.com/post-graduate-program-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube",fire professional certificate program in data engineering fire iitk professional certificate course in data science india only fire caltech post graduate program in data science,"['fire', 'professional', 'certificate', 'program', 'datum', 'engineering', 'fire', 'iitk', 'professional', 'certificate', 'course', 'datum', 'science', 'india', 'fire', 'caltech', 'post', 'graduate', 'program', 'datum', 'science']"
2,"100 slides given by my university explained in 6 minutes! Amazing, and thank you so much!","100 slides given by my university explained in 6 minutes! Amazing, and thank you so much!",slides given by my university explained in minutes amazing and thank you so much,"['slide', 'give', 'university', 'explain', 'minute', 'amazing', 'thank', 'much']"
3,"Well, I'm blown away. That was one of the most productive six minutes I spent on YoutTube <3 Thank you!","Well, I'm blown away. That was one of the most productive six minutes I spent on YoutTube <3 Thank you!",well im blown away that was one of the most productive six minutes i spent on youttube thank you,"['well', 'I', 'm', 'blow', 'away', 'one', 'productive', 'six', 'minute', 'spend', 'youttube', 'thank']"
4,Thanks for the explanation understood about Hadoop. Answer is: Ensures fault tolerance. 5:31,Thanks for the explanation understood about Hadoop. Answer is: Ensures fault tolerance. 5:31,thanks for the explanation understood about hadoop answer is: ensures fault tolerance :,"['thank', 'explanation', 'understand', 'hadoop', 'answer', ':', 'ensure', 'fault', 'tolerance', ':']"
5,Wow this is how things should be explained. Simultaneously with strong examples. Thank you for uploading this.,Wow this is how things should be explained. Simultaneously with strong examples. Thank you for uploading this.,wow this is how things should be explained simultaneously with strong examples thank you for uploading this,"['wow', 'thing', 'explain', 'simultaneously', 'strong', 'example', 'thank', 'upload']"
6,"Yay, an explanation that can be understood in plain english with simple examples.
It took my lecturer about 30 minutes to slog through half of this content and it barely made sense to me. This was great.","Yay, an explanation that can be understood in plain english with simple examples.
It took my lecturer about 30 minutes to slog through half of this content and it barely made sense to me. This was great.",yay an explanation that can be understood in plain english with simple examples it took my lecturer about minutes to slog through half of this content and it barely made sense to me this was great,"['yay', 'explanation', 'understand', 'plain', 'english', 'simple', 'example', 'take', 'lecturer', 'minute', 'slog', 'half', 'content', 'barely', 'make', 'sense', 'great']"
7,"thank you for not having ads in the beginning of this video, is all I have to say.","thank you for not having ads in the beginning of this video, is all I have to say.",thank you for not having ads in the beginning of this video is all i have to say,"['thank', 'ad', 'begin', 'video', 'say']"
8,best video I have seen ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,best video I have seen ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,best video i have seen the answer to the question : the advantage of the x replication in hdfs is mainly that it ensures fault tolerance,"['good', 'video', 'see', 'answer', 'question', ':', 'advantage', 'x', 'replication', 'hdfs', 'mainly', 'ensure', 'fault', 'tolerance']"
9,Nice video ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,Nice video ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.,nice video the answer to the question : the advantage of the x replication in hdfs is mainly that it ensures fault tolerance,"['nice', 'video', 'answer', 'question', ':', 'advantage', 'x', 'replication', 'hdfs', 'mainly', 'ensure', 'fault', 'tolerance']"
10,"Thank you SimpliLearn, 

1. Straight to the point, 2. Visuals and precise explanation.","Thank you SimpliLearn, 

1. Straight to the point, 2. Visuals and precise explanation.",thank you simplilearn straight to the point visuals and precise explanation,"['thank', 'simplilearn', 'straight', 'point', 'visual', 'precise', 'explanation']"
11,"Amazing
I missed this important lectures in my University
I thought won't able to learn 
But you did so well. Even my professor can't explain this way.
Thank you so much","Amazing
I missed this important lectures in my University
I thought won't able to learn 
But you did so well. Even my professor can't explain this way.
Thank you so much",amazing i missed this important lectures in my university i thought wont able to learn but you did so well even my professor cant explain this way thank you so much,"['amazing', 'miss', 'important', 'lecture', 'university', 'think', 'will', 'not', 'able', 'learn', 'well', 'even', 'professor', 'can', 'not', 'explain', 'way', 'thank', 'much']"
12,Two weeks of study at my university explained in 6 minutes. Thank you.,Two weeks of study at my university explained in 6 minutes. Thank you.,two weeks of study at my university explained in minutes thank you,"['two', 'week', 'study', 'university', 'explain', 'minute', 'thank']"
13,This single 6min video explained more better than large videos & few course,This single 6min video explained more better than large videos & few course,this single min video explained more better than large videos few course,"['single', 'min', 'video', 'explain', 'well', 'large', 'video', 'course']"
14,Amazing how easy and fast you guys could put together all the concepts and information about Hadoop. Congrats !!,Amazing how easy and fast you guys could put together all the concepts and information about Hadoop. Congrats !!,amazing how easy and fast you guys could put together all the concepts and information about hadoop congrats,"['amazing', 'easy', 'fast', 'guy', 'could', 'put', 'together', 'concept', 'information', 'hadoop', 'congrat']"
15,This dude just explained what my teacher explained in 4 hours in 6 mins very nice video !,This dude just explained what my teacher explained in 4 hours in 6 mins very nice video !,this dude just explained what my teacher explained in hours in mins very nice video,"['dude', 'explain', 'teacher', 'explain', 'hour', 'min', 'nice', 'video']"
16,"The answer is C, ensures fault tolerance! I love your videos, really helps me with my Data Science class right now.","The answer is C, ensures fault tolerance! I love your videos, really helps me with my Data Science class right now.",the answer is c ensures fault tolerance i love your videos really helps me with my data science class right now,"['answer', 'c', 'ensure', 'fault', 'tolerance', 'love', 'video', 'really', 'help', 'data', 'science', 'class', 'right']"
17,You describe 2/3 hr of a lecture with in a 5 min. Same like your name SimpleLearn Your Teaching style is superb. Thanks brother❤,You describe 2/3 hr of a lecture with in a 5 min. Same like your name SimpleLearn Your Teaching style is superb. Thanks brother red_heart ,you describe hr of a lecture with in a min same like your name simplelearn your teaching style is superb thanks brother red_heart,"['describe', 'hr', 'lecture', 'min', 'like', 'name', 'simplelearn', 'teaching', 'style', 'superb', 'thanks', 'brother', 'red_heart']"
18,"The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
Your Explanation was Awesome. and i have a question
How we create data product using Hadoop??","The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
Your Explanation was Awesome. and i have a question
How we create data product using Hadoop??",the advantage of the x replication schema in hdfs is option c: to ensure fault tolerance your explanation was awesome and i have a question how we create data product using hadoop,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', ':', 'ensure', 'fault', 'tolerance', 'explanation', 'awesome', 'question', 'create', 'data', 'product', 'use', 'hadoop']"
19,The answer is C. Thanks for best teaching!,The answer is C. Thanks for best teaching!,the answer is c thanks for best teaching,"['answer', 'c', 'thank', 'good', 'teaching']"
20,"5 mins left for my exam, im watching this","5 mins left for my exam, im watching this",mins left for my exam im watching this,"['min', 'leave', 'exam', 'I', 'm', 'watch']"
21,visual explanation was the best part. for a newbie like me I could grasp the concept much faster. The answer to the quiz is fault tolerance. thanks.,visual explanation was the best part. for a newbie like me I could grasp the concept much faster. The answer to the quiz is fault tolerance. thanks.,visual explanation was the best part for a newbie like me i could grasp the concept much faster the answer to the quiz is fault tolerance thanks,"['visual', 'explanation', 'good', 'part', 'newbie', 'like', 'could', 'grasp', 'concept', 'much', 'fast', 'answer', 'quiz', 'fault', 'tolerance', 'thank']"
22,This was amazing.  It's just about the best high level description of HADOOP I've ever seen.,This was amazing.  It's just about the best high level description of HADOOP I've ever seen.,this was amazing its just about the best high level description of hadoop ive ever seen,"['amazing', 'good', 'high', 'level', 'description', 'hadoop', 'I', 've', 'ever', 'see']"
23,all those multiple slides showed in our lectures yet your 6 mins video made me understand and write multiple concepts of hadoop architecture 🙏,all those multiple slides showed in our lectures yet your 6 mins video made me understand and write multiple concepts of hadoop architecture  folded_hands ,all those multiple slides showed in our lectures yet your mins video made me understand and write multiple concepts of hadoop architecture folded_hands,"['multiple', 'slide', 'show', 'lecture', 'yet', 'min', 'video', 'make', 'understand', 'write', 'multiple', 'concept', 'hadoop', 'architecture', 'folded_hand']"
24,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative,the answer to the question is : ensure fault tolerance thank you for the video it was very informative,"['answer', 'question', ':', 'ensure', 'fault', 'tolerance', 'thank', 'video', 'informative']"
25,"Explanation in is very good in less time.i'm also work on hadoop but that kind of knowledge gain today .
Summary:
Hadoop contain 3 measure part:
1) hdfs:hadoop distributed file system
2) MapReduce: basically it is memory management 
3)YARN : it provide management of all kind.

Thank team","Explanation in is very good in less time.i'm also work on hadoop but that kind of knowledge gain today .
Summary:
Hadoop contain 3 measure part:
1) hdfs:hadoop distributed file system
2) MapReduce: basically it is memory management 
3)YARN : it provide management of all kind.

Thank team",explanation in is very good in less timeim also work on hadoop but that kind of knowledge gain today summary: hadoop contain measure part: hdfs:hadoop distributed file system mapreduce: basically it is memory management yarn : it provide management of all kind thank team,"['explanation', 'good', 'less', 'timeim', 'also', 'work', 'hadoop', 'kind', 'knowledge', 'gain', 'today', 'summary', ':', 'hadoop', 'contain', 'measure', 'part', ':', 'hdfs', ':', 'hadoop', 'distribute', 'file', 'system', 'mapreduce', ':', 'basically', 'memory', 'management', 'yarn', ':', 'provide', 'management', 'kind', 'thank', 'team']"
26,"Option C - Ensures Fault Tolerance 


This is very sweet to get the intro of the Hadoop in 5 mints.

Thanks for help.👍","Option C - Ensures Fault Tolerance 


This is very sweet to get the intro of the Hadoop in 5 mints.

Thanks for help. thumbs_up ",option c ensures fault tolerance this is very sweet to get the intro of the hadoop in mints thanks for help thumbs_up,"['option', 'c', 'ensure', 'fault', 'tolerance', 'sweet', 'get', 'intro', 'hadoop', 'mint', 'thank', 'help', 'thumbs_up']"
27,The Most Precise and Easy to understand video Ever!!!!!,The Most Precise and Easy to understand video Ever!!!!!,the most precise and easy to understand video ever,"['precise', 'easy', 'understand', 'video', 'ever']"
28,"C) Ensures fault tolerance
Thanks for such information
Appreciable 👌","C) Ensures fault tolerance
Thanks for such information
Appreciable  OK_hand ",c ensures fault tolerance thanks for such information appreciable ok_hand,"['c', 'ensure', 'fault', 'tolerance', 'thank', 'information', 'appreciable', 'ok_hand']"
29,"Short but very meaningful knowledge video. I am joining a class conducted by organization, before that I was looking for something really meaningful and Lord has brought me here. Thanks","Short but very meaningful knowledge video. I am joining a class conducted by organization, before that I was looking for something really meaningful and Lord has brought me here. Thanks",short but very meaningful knowledge video i am joining a class conducted by organization before that i was looking for something really meaningful and lord has brought me here thanks,"['short', 'meaningful', 'knowledge', 'video', 'join', 'class', 'conduct', 'organization', 'look', 'something', 'really', 'meaningful', 'lord', 'bring', 'thank']"
30,Wow! No body will explain Hadoop so effectively and easily like you. Hats off to you time and effort. Cheers! btw answer would be D: fault tolerance,Wow! No body will explain Hadoop so effectively and easily like you. Hats off to you time and effort. Cheers! btw answer would be D: fault tolerance,wow no body will explain hadoop so effectively and easily like you hats off to you time and effort cheers btw answer would be d: fault tolerance,"['wow', 'body', 'explain', 'hadoop', 'effectively', 'easily', 'like', 'hat', 'time', 'effort', 'cheer', 'btw', 'answer', 'would', ':', 'fault', 'tolerance']"
31,"Seriously, this is a wonderfully summarised version of any Hadoop video.  Well done summary. The answer is C","Seriously, this is a wonderfully summarised version of any Hadoop video.  Well done summary. The answer is C",seriously this is a wonderfully summarised version of any hadoop video well done summary the answer is c,"['seriously', 'wonderfully', 'summarise', 'version', 'hadoop', 'video', 'well', 'do', 'summary', 'answer', 'c']"
32,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,the advantage of the x replication schema in hdfs is option c: to ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', ':', 'ensure', 'fault', 'tolerance']"
33,"Mind blown explanation, even a kid can understand these concepts by watching this video","Mind blown explanation, even a kid can understand these concepts by watching this video",mind blown explanation even a kid can understand these concepts by watching this video,"['mind', 'blow', 'explanation', 'even', 'kid', 'understand', 'concept', 'watch', 'video']"
34,"Option (C)-Ensures Fault Tolerance.


And really thankss for the full  explanation on HADOOP👍.This type explanation was what i was looking for from long back..It was very perfect,clear & simpler to understand.😊👌","Option (C)-Ensures Fault Tolerance.


And really thankss for the full  explanation on HADOOP thumbs_up .This type explanation was what i was looking for from long back..It was very perfect,clear & simpler to understand. smiling_face_with_smiling_eyes  OK_hand ",option censures fault tolerance and really thankss for the full explanation on hadoop thumbs_up this type explanation was what i was looking for from long backit was very perfectclear simpler to understand smiling_face_with_smiling_eyes ok_hand,"['option', 'censure', 'fault', 'tolerance', 'really', 'thankss', 'full', 'explanation', 'hadoop', 'thumbs_up', 'type', 'explanation', 'look', 'long', 'backit', 'perfectclear', 'simple', 'understand', 'smiling_face_with_smiling_eyes', 'ok_hand']"
35,Got My All Doubts Cleared. Thanks for uploading the video :),Got My All Doubts Cleared. Thanks for uploading the video :),got my all doubts cleared thanks for uploading the video :,"['get', 'doubt', 'clear', 'thank', 'upload', 'video', ':']"
36,"Answer: C) Ensures fault tolerance
Great explanation!!.","Answer: C) Ensures fault tolerance
Great explanation!!.",answer: c ensures fault tolerance great explanation,"['answer', ':', 'c', 'ensure', 'fault', 'tolerance', 'great', 'explanation']"
37,I have been working on the Mapr environment but I didn’t got clarity on clusters until I watched this video.. Thanks Keep doing the tutorials on this Hadoop!,I have been working on the Mapr environment but I didn’t got clarity on clusters until I watched this video.. Thanks Keep doing the tutorials on this Hadoop!,i have been working on the mapr environment but i didnt got clarity on clusters until i watched this video thanks keep doing the tutorials on this hadoop,"['work', 'mapr', 'environment', 'do', 'not', 'get', 'clarity', 'cluster', 'watch', 'video', 'thank', 'keep', 'tutorial', 'hadoop']"
38,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx,just saved me a lot of stress going through all the slides from the academy amazing tnxx,"['save', 'lot', 'stress', 'go', 'slide', 'academy', 'amazing', 'tnxx']"
