Serial Number,Comment
1,"🔥Professional Certificate Program in Data Engineering  - https://www.simplilearn.com/pgp-data-engineering-certification-training-course?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
🔥IITK - Professional Certificate Course in Data Science (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube
🔥Caltech Post Graduate Program in Data Science  - https://www.simplilearn.com/post-graduate-program-data-science?utm_campaign=aReuLtY0YMI&utm_medium=Comments&utm_source=Youtube"
2,"100 slides given by my university explained in 6 minutes! Amazing, and thank you so much!"
3,"Well, I'm blown away. That was one of the most productive six minutes I spent on YoutTube <3 Thank you!"
4,Thanks for the explanation understood about Hadoop. Answer is: Ensures fault tolerance. 5:31
5,Wow this is how things should be explained. Simultaneously with strong examples. Thank you for uploading this.
6,"Yay, an explanation that can be understood in plain english with simple examples.
It took my lecturer about 30 minutes to slog through half of this content and it barely made sense to me. This was great."
7,"thank you for not having ads in the beginning of this video, is all I have to say."
8,best video I have seen ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.
9,Nice video ! The answer to the question : The advantage of the 3x replication in HDFS is mainly that it ensures fault tolerance.
10,"Thank you SimpliLearn, 

1. Straight to the point, 2. Visuals and precise explanation."
11,"Amazing
I missed this important lectures in my University
I thought won't able to learn 
But you did so well. Even my professor can't explain this way.
Thank you so much"
12,Two weeks of study at my university explained in 6 minutes. Thank you.
13,This single 6min video explained more better than large videos & few course
14,Amazing how easy and fast you guys could put together all the concepts and information about Hadoop. Congrats !!
15,This dude just explained what my teacher explained in 4 hours in 6 mins very nice video !
16,"The answer is C, ensures fault tolerance! I love your videos, really helps me with my Data Science class right now."
17,You describe 2/3 hr of a lecture with in a 5 min. Same like your name SimpleLearn Your Teaching style is superb. Thanks brother❤
18,"The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
Your Explanation was Awesome. and i have a question
How we create data product using Hadoop??"
19,The answer is C. Thanks for best teaching!
20,"5 mins left for my exam, im watching this"
21,visual explanation was the best part. for a newbie like me I could grasp the concept much faster. The answer to the quiz is fault tolerance. thanks.
22,This was amazing.  It's just about the best high level description of HADOOP I've ever seen.
23,all those multiple slides showed in our lectures yet your 6 mins video made me understand and write multiple concepts of hadoop architecture 🙏
24,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative
25,"Explanation in is very good in less time.i'm also work on hadoop but that kind of knowledge gain today .
Summary:
Hadoop contain 3 measure part:
1) hdfs:hadoop distributed file system
2) MapReduce: basically it is memory management 
3)YARN : it provide management of all kind.

Thank team"
26,"Option C - Ensures Fault Tolerance 


This is very sweet to get the intro of the Hadoop in 5 mints.

Thanks for help.👍"
27,The Most Precise and Easy to understand video Ever!!!!!
28,"C) Ensures fault tolerance
Thanks for such information
Appreciable 👌"
29,"Short but very meaningful knowledge video. I am joining a class conducted by organization, before that I was looking for something really meaningful and Lord has brought me here. Thanks"
30,Wow! No body will explain Hadoop so effectively and easily like you. Hats off to you time and effort. Cheers! btw answer would be D: fault tolerance
31,"Seriously, this is a wonderfully summarised version of any Hadoop video.  Well done summary. The answer is C"
32,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
33,"Mind blown explanation, even a kid can understand these concepts by watching this video"
34,"Option (C)-Ensures Fault Tolerance.


And really thankss for the full  explanation on HADOOP👍.This type explanation was what i was looking for from long back..It was very perfect,clear & simpler to understand.😊👌"
35,Got My All Doubts Cleared. Thanks for uploading the video :)
36,"Answer: C) Ensures fault tolerance
Great explanation!!."
37,I have been working on the Mapr environment but I didn’t got clarity on clusters until I watched this video.. Thanks Keep doing the tutorials on this Hadoop!
38,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx
39,"Answer is at least a, b, c and could include d, depending on how you define manage. Yes 3x replication ensures fault tolerance but it also allows parallel execution of jobs to be placed on the same node where a block of data resides. The locality benefit can provide faster data analysis and efficient cluster management depending on the workloads."
40,Thank you so much we want this kind of teachers
41,I believe the answer is C. The 3x replication schema is used to counter when one of the physical storage is in fault/problem. It is act as backup
42,You are a god for beginners. Now I am subscribing your channel
43,College lecture slides are far >>>>>>> better tahn ur video lecture thanks a lot it helped in my todays exam
44,"Awesome video. It would be great to see the technical example shown in this video.
Btw, the answer is to ensure fault tolerance."
45,"This is absolute perfection. I recently read a similar book, and it was absolute perfection. ""Mastering AWS: A Software Engineers Guide"" by Nathan Vale"
46,c)Ensures fault tolerance.   :-)   Great tutovid !
47,WOW!!! thank you sooo muchhhh!!! this was so good and precise. I honestly did not understand anything from uni until I watched this.
48,"Big Data is not unstructured data as you might have suggested in the beginning. Big Data is around big data sets that are otherwise too large to deal with. Big Data might be generated by a particle accelerator, for example, it will be structured data but will be considered as 'Big Data'. By the way, this term is not commonly used by Data professionals. It's mostly used by managers and marketing people."
49,3x replication helps with fault tolerance.. may be 3 years late for a gift voucher..😇 but wanted a refresher and this video was great on hadoop
50,"All a, b, c and d are right answers"
51,"Best best best 😭❤
Thank you so much for this ❤❤❤"
52,C: to Ensure fault tolerance :)
53,"Thanks for giving lot of information in 6:20 min. Videos, Great job 💯"
54,C:- Ensure fault tolerance
55,You deserve a thumbs up.
56,"Thanks for the explanation! That's what I was looking for! :) Of course, the answer is C - ensure fault tolerance."
57,Brilliantly Explained
58,"This is such a useful video, thank you!!"
59,thumps up is just a small appriciation need  deserve more than that brilliant explanation
60,Good explanation. Seems like a lot of work to create useless word-frequency maps of nonsense emails though.
61,Clearest explanation of Hadoop that I have come across.
62,How can i like it two times?
63,"Sir, Thanks a lot for This Amazing Lecture 🙂"
64,"Yeah ok, so it's RAID but with a different name and a bit more options."
65,"Good video. Clear and concise.
Answer to quiz - C (Ensures fault tolerance)"
66,"c) Ensures Fault Tolerance

Thank you so much for the video - Love it!"
67,That was the easiest way to learn and understand Hadoop thank you!
68,"Ensures fault tolerance.

Great video, thank you so much!"
69,"Thank you, that's the best explanation I've ever heard."
70,Excellent explanation in 6 mins. Thank you!
71,The answer would be (C) Ensures Fault Tolerance! Thanks again. Wonderful presentation
72,hadoop is an amazing way to manage and process big data.
73,Best Scientific content creator award goes to simplilearn.
74,"thanks for the crystal clear explanation on what hadoop is , coming to the answer of question is c) ensure fault tolerance"
75,This video clarifies the Hadoop concept very well.
76,I never knew Hadoop is a storage unit. Thanking you Genius
77,"Great video
Answer is 
Option 3: To ensure faltu tolerant"
78,A clear cut video to understand Hadoop components. Thanks a lot.
79,"wow, this is first time learning about Big Data and how Hadoop works. thank you so much for the explanation. quite excited to give it a try. 
the answer is C: Ensure Fault tolerance. like High Availability in Cloud services terms."
80,"My Answer to Quiz is C. select C because it can split lots of multiple blocks to compute. and they can copy all data from other blocks, so whichever one or more are broken, the data is not lost."
81,Amazing Video!! Really Helpful :D
82,"Answer: C! Great quick intro my first time learning, I've kept hearing about Map Reduce and this really made sense!"
83,"Amazing video. Brilliant explanation. The answer is option C , 3x replication ensures fault tolerance"
84,This is too amazing. Very helpful. Explained better than anyone. l love it.
85,This is superb video I really understood the concept of Hadoop I appreciate the effort of simplicity.
86,"Just WOW!! 
Thank you!"
87,The answer is C. Great video! Thanks!
88,GREAT SUMMARY!!!!! This is the kind of stuff I was looking for!!! +1 sub!
89,You Guys doing a great Job....excellent explanation.....
90,Easy to learn Your teching skills .... Thanks for your Video.
91,"please create more videos, love this!"
92,"C)Ensure fault tolerance. 
As replication is used if any of nodes crashes then the data of that node is stored on various other system so no data is lost."
93,Excellent explanation in such a short clip
94,"Thanks a lot , u are better than my professor"
95,Excellent introduction!!!
96,"10/10, I say this as a person working with a hadoop cluster of more than 200 nodes"
97,There was a lot of information in this video and it was very well presented. 3x replication schema ensures fault tolerance
98,Nice content in 06 minutes. Well explained. Thank you!!
99,It is one of the most valuable explanation. Just Amazing.
100,"amazing content, you guys are the best!!!!!"
101,Thank you. Well explained.
102,Productive 6 Mins 🙌
103,Brilliant work! Thank you.
104,"Awesome videoooo...! 
Ans: C. Fault tolerance"
105,Thanks u so much for such a simple and amazing video to understand the concept.👏👏👏👏👏
106,so easy explained ty guys
107,"Great video, is a good resume of this technology, and the answer is C) Ensure fault tolerance"
108,Awesome explanation...thank you !!
109,Thanks For making this amazing and helpful video.!🙂
110,Nice explanation. Thank You
111,"thanks a lot for the explanation, through this video i just understand what the big data is and hadoop is! It's so amazing."
112,Excellent! Thank you so much.
113,nice presentation easy to understand
114,amazing explanation of the Hadoop concepts.
115,C:) Fault tolerance is the answer.  Thank you tons for the very awesome and informative video on Hadoop!
116,Answer is C! Data is available on other nodes even if other nodes are down or crashed
117,The answer is option C and very good explanation sir thank you
118,"Very well explained video 💯
Answer of Advantage of 3x replication Schema in HDFS is Option C that is ensure Fault Tolerance."
119,"thanks for the informative video. in a short video, it explains most of the hadoop components."
120,Thank you so much 🥰
121,"Crisp and short video....upto the point🔥
Answer is (C). Ensures fault tolerance"
122,The advantage of the 3x replication schema in HDFS ---> Option C - Ensure fault tolerance.
123,"THE ANSWER IS C. HDFS IS FAULT-TOLERANCE, IF THE DATANODES CRASHES BECUASE ITS REPLICATICATED IN 3 REPLICATION SCHEMA IN HDFS. No data will be loss, great video."
124,Totally clear!
125,Thanks for excellent content
126,"Big thank to you.
Amazing video"
127,Excellent Videos! Thank you
128,thank you well presented
129,c) ensure fault tolerences  thanks for explaination
130,For last quizI think C is the correct answer. 3X replica is for fault tolerance purpose.
131,Thanks  a lot for this wonderful video...!!!!!
132,The best video to explain hadoop in 5 min.
133,Amazing video. The advantage of the 3x replication schema in HDFS is fault torance.
134,great video!! the answer is c. I know the comment is too late but just commenting
135,"Thanks for making this really easy to understand. Keep making such videos !!!
Answer: (c) Ensures fault tolerance."
136,super explaination 👍👍🌟
137,Thank you for this
138,I understand now. Hadoop is bigger than dBase III+. nice and simple video. have a nice day.
139,Great explanation
140,"Hi,
Thanks for the video. 
The answer is C"
141,This is great. Thank you.
142,Bhai kya batau kya samjhaya hai. Chummi ekdum <3
143,"The answer is C, which ensures fault tolerance! really help me in my course Advanace Database management Science  topic Big data,hadoop version1 and version 2"
144,Very good explanation...
145,Thank you so much for this awesome video.
146,Loved the content
147,Awesome video. Thanks
148,Great explanation. Thank you.
149,Congratulations on the video!
150,GREAT CONTENT
151,Thanks for sharing this video.
